Code,Description,Category,Source,Notes;
P0034,Turbo Charger Bypass Valve Control Circuit Low,Powertrain,OBD-II Standard,;
P0035,Turbo Char ger Bypass Valve Control Circuit High,Powertrain,OBD-II Standard,;
P0036,HO2S Heater Control C ircuit (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0037,HO2S Heater Control Circuit Low (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0038,HO2S Heater Control Circuit High (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0039,Turbo/Super Charger Bypass Valve C ontrol Circuit,Powertrain,OBD-II Standard,;
P0040,O2 Sensor Signals Swapped Bank 1 Sensor 1/ Bank 2 Sensor 1,Powertrain,OBD-II Standard,;
P0041,O2 Sensor Signals Swapped Bank 1 Sensor 2/ Bank 2 Sensor 2,Powertrain,OBD-II Standard,;
P0042,HO2S Heater Control Circuit (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0043,HO2S Heater Control Cir cuit Low (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0044,HO2S Heater Control Circuit High (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0045,Turbo/Super Charger Boost Control Solenoid Circuit/Open,Powertrain,OBD-II Standard,;
P0046,Turbo/Super Charger Boost Control Solenoid Circuit,Powertrain,OBD-II Standard,;
P0047,Turbo/Super Charg er Boost Control Solenoid Circuit Low,Powertrain,OBD-II Standard,;
P0048,Turbo/Super Charger Boost Control Solenoid Circuit High,Powertrain,OBD-II Standard,;
P0049,Turbo/Super Charger Turbine Overspeed,Powertrain,OBD-II Standard,;
P0050,HO2S Heater Control Circuit (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0051,HO2S Heater Control Circuit Low (Bank 2 Se nsor 1),Powertrain,OBD-II Standard,;
P0052,HO2S Heater Control Circuit High (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0053,HO2S Heater Resistance (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0054,HO2S Heater Resistance (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0055,HO2S Heater Resistance (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0056,HO2S Heater Control Circuit ( Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0057,HO2S Heater Control Circuit Low (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0058,HO2S Heater Control Circuit High (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0059,HO2S Heater Resistance (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0060,HO2S Heater Resistance (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0061,HO2S Heater Resistance (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0062,HO2S Heater Control C ircuit (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0063,HO2S Heater Control Circuit Low (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0064,HO2S Heater Control Circuit High (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0065,Air Assisted Injector Control Range/Perfor mance,Powertrain,OBD-II Standard,;
P0066,Air Assisted Injector Control Circuit or Circuit Low,Powertrain,OBD-II Standard,;
P0067,Air Assisted Injector Control Circuit High,Powertrain,OBD-II Standard,;
P0068,MAP/MAF Throttle Position Correlation,Powertrain,OBD-II Standard,;
P0069,Manifold Absolute Pressure Barometric Pressure Correlation,Powertrain,OBD-II Standard,;
P0070,Ambient Air Temperature Sensor Circuit,Powertrain,OBD-II Standard,;
P0071,Ambient Air Temperature Sensor Range/Performance,Powertrain,OBD-II Standard,;
P0072,Ambient Air Temperature Sensor C ircuit Low,Powertrain,OBD-II Standard,;
P0073,Ambient Air Temperature Sensor Circuit High,Powertrain,OBD-II Standard,;
P0074,Ambient Air Temperature Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P0075,Intake Valve Control Solenoid Circuit (Bank 1),Powertrain,OBD-II Standard,;
P0076,Intake Valve Control Solenoid Circuit Low (Bank 1),Powertrain,OBD-II Standard,;
P0077,Intake Valve Control Solenoid Circuit High (Bank 1),Powertrain,OBD-II Standard,;
P0078,Exhaust Valve Control Solenoid Circuit (Bank 1),Powertrain,OBD-II Standard,;
P0079,Exhaust Valve Con trol Solenoid Circuit Low (Bank 1),Powertrain,OBD-II Standard,;
P0080,Exhaust Valve C ontrol Solenoid C ircuit High (Bank 1),Powertrain,OBD-II Standard,;
P0081,Intake Valve Control Solenoid Circuit (Bank 2),Powertrain,OBD-II Standard,;
P0082,Intake Valve Control Solenoid Circuit Low (Bank 2),Powertrain,OBD-II Standard,;
P0083,Intake Valve Control Solenoid Ci rcuit High (Bank 2),Powertrain,OBD-II Standard,;
P0084,Exhaust Valve Control Solenoid Circuit (Bank 2),Powertrain,OBD-II Standard,;
P0085,Exhaust Valve Control Solenoid Circuit Low (Bank 2),Powertrain,OBD-II Standard,;
P0086,Exhaust Valve C ontrol Solenoid C ircuit High (Bank 2),Powertrain,OBD-II Standard,;
P0087,Fuel Rail/System Pressure -Too Low,Powertrain,OBD-II Standard,;
P0088,Fuel Rail/System Pressure -Too High,Powertrain,OBD-II Standard,;
P0089,Fuel Pressure Regulator 1 Performance,Powertrain,OBD-II Standard,;
P0090,Fuel Pressure Regulator 1 C ontrol Circuit,Powertrain,OBD-II Standard,;
P0091,Fuel Pressure Regulator 1 C ontrol Circuit Low,Powertrain,OBD-II Standard,;
P0092,Fuel Pressure Regulator 1 C ontrol Circuit High,Powertrain,OBD-II Standard,;
P0093,Fuel System Leak Detected Large Leak,Powertrain,OBD-II Standard,;
P0094,Fuel System Leak Detected Small Leak,Powertrain,OBD-II Standard,;
P0095,Intake Air Temperature Sensor 2 C ircuit,Powertrain,OBD-II Standard,;
P0096,Intake Air Temperature Sensor 2 C ircuit Range/Performance,Powertrain,OBD-II Standard,;
P0097,Intake Air Temperature Sensor 2 C ircuit Low,Powertrain,OBD-II Standard,;
P0098,Intake Air Temperature Sensor 2 Circuit High,Powertrain,OBD-II Standard,;
P0099,Intake Air Temperature Sensor 2 C ircuit Intermittent/Erratic,Powertrain,OBD-II Standard,;
P0100,Mass or Volume Air Flow Circuit Malfunction,Powertrain,OBD-II Standard,;
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem,Powertrain,OBD-II Standard,;
P0102,Mass or Volume Air Flow Circuit Low Input,Powertrain,OBD-II Standard,;
P0103,Mass or Volume Air Flow Circuit High Input,Powertrain,OBD-II Standard,;
P0104,Mass or Volume Air Flow Circuit Intermittent,Powertrain,OBD-II Standard,;
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit,Powertrain,OBD-II Standard,;
P0106,Manifold Absolute Pressu re/Barometric Pressure Circuit,Powertrain,OBD-II Standard,;
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low,Powertrain,OBD-II Standard,;
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High,Powertrain,OBD-II Standard,;
P0109,Manifold Absolute Pressure/Barometric Pre ssure Circuit,Powertrain,OBD-II Standard,;
P0110,Intake Air Temperature Circuit Malfunction,Powertrain,OBD-II Standard,;
P0111,Intake Air Temperature Circuit Range/Performance Problem,Powertrain,OBD-II Standard,;
P0112,Intake Air Temperature Circuit Low Input,Powertrain,OBD-II Standard,;
P0113,Intake Air Temperature Circuit High Input,Powertrain,OBD-II Standard,;
P0114,Intake Air Temperature Circuit Intermittent,Powertrain,OBD-II Standard,;
P0115,Engine Coolant Temperature Circuit Malfunction,Powertrain,OBD-II Standard,;
P0116,Engine Coolant Temperature Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0117,Engine Coolant Temperature Circuit Low Input,Powertrain,OBD-II Standard,;
P0118,Engine Coolant Temperatu re Circuit High Input,Powertrain,OBD-II Standard,;
P0119,Engine Coolant Temperature Circuit Intermittent,Powertrain,OBD-II Standard,;
P012,9 Barometric Pressure Too Low,Powertrain,OBD-II Standard,;
P0120,Throttle Position Sensor/Switch A Circuit Malfunction,Powertrain,OBD-II Standard,;
P0121,Throttle Position Sensor/Switch A Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0122,Throttle Position Sensor/Swi tch A Circuit Low Input,Powertrain,OBD-II Standard,;
P0123,Throttle Position Sensor/Switch A Circuit High Input,Powertrain,OBD-II Standard,;
P0124,Throttle Position Sensor/Switch A Circuit Intermittent,Powertrain,OBD-II Standard,;
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control;
P0126,Insufficient Coolant Temperature for Stable Operation,Powertrain,OBD-II Standard,;
P0127, Intake Air Temperature Too High,Powertrain,OBD-II Standard,;
P0128,Coolant Thermostat Malfunction,Powertrain,OBD-II Standard,;
P0129,Barometric Pressure Too Low,Powertrain,OBD-II Standard,;
P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0134,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1),Powertrain,OBD-II Standard,;
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1 ),Powertrain,OBD-II Standard,;
P0136,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0137,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0138,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0139,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0140,O2 Sensor Circ uit No Activity Detected (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0141,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2),Powertrain,OBD-II Standard,;
P0142,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0143,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0144,O2 Sensor Circuit High Vol tage (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0145,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0146,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0147,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3),Powertrain,OBD-II Standard,;
P0148, Fuel Delivery Error,Powertrain,OBD-II Standard,;
P0149, Fuel Timing Error,Powertrain,OBD-II Standard,;
P0150,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0151,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0152,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0153,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0154,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0155,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1),Powertrain,OBD-II Standard,;
P0156,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0157,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0158,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0159,O2 Sensor Circ uit Slow Response (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0160,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0161,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2),Powertrain,OBD-II Standard,;
P0162,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0163,O2 Sensor Circuit Low Vo ltage (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0164,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0165,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0166,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3),Powertrain,OBD-II Standard,;
P0167,O2 Sensor Heater Circuit Malfunction (Ba nk 2 Sensor 3),Powertrain,OBD-II Standard,;
P0168, Fuel Temperature Too High,Powertrain,OBD-II Standard,;
P0169, Incorrect Fuel Composition,Powertrain,OBD-II Standard,;
P017,4 System Too Lean,Powertrain,OBD-II Standard,;
P0170,Fuel Trim Malfunction (Bank 1),Powertrain,OBD-II Standard,;
P0171,Fuel Trim too Lean (Bank 1),Powertrain,OBD-II Standard,;
P0172,Fuel Trim too Rich (Bank 1),Powertrain,OBD-II Standard,;
P0173,Fuel Trim Malfunction (Bank 2),Powertrain,OBD-II Standard,;
P0174,Fuel Trim too Lean (Bank 2),Powertrain,OBD-II Standard,;
P0175,Fuel Trim too Rich (Bank 2),Powertrain,OBD-II Standard,;
P0176,FuelComposition Sensor Circuit Malfunction,Powertrain,OBD-II Standard,;
P0177,Fuel Composition Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0178,Fuel Composition Sensor Circuit Low Input,Powertrain,OBD-II Standard,;
P0179,Fuel Composition Sensor Circuit High Input,Powertrain,OBD-II Standard,;
P0180,Fuel Temperature Sensor A Circuit Malfunction,Powertrain,OBD-II Standard,;
P0181,Fuel Temperature Sensor A Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0182,Fuel Temperature Sensor A Circuit Low Input,Powertrain,OBD-II Standard,;
P0183,Fuel Temperature Sensor A Circuit High Input,Powertrain,OBD-II Standard,;
P0184,Fuel Temperature Sensor A Circuit Intermittent,Powertrain,OBD-II Standard,;
P0185,Fuel Temperature Senso r B Circuit Malfunction,Powertrain,OBD-II Standard,;
P0186,Fuel Temperature Sensor B Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0187,Fuel Temperature Sensor B Circuit Low Input,Powertrain,OBD-II Standard,;
P0188,Fuel Temperature Sensor B Circuit High Input,Powertrain,OBD-II Standard,;
P0189,Fuel Temperature Sensor B Circuit Intermittent,Powertrain,OBD-II Standard,;
P0190,Fuel Rail Pressure Sensor Circuit Malfunction,Powertrain,OBD-II Standard,;
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0192,Fuel Rail Pressure Sensor Circuit Low Input,Powertrain,OBD-II Standard,;
P0193,Fuel Rail Pressure Sensor Circuit High Input,Powertrain,OBD-II Standard,;
P0194,Fuel Rail Pressure Sensor Circui t Intermittent,Powertrain,OBD-II Standard,;
P0195,Engine Oil Temperature Sensor Malfunction,Powertrain,OBD-II Standard,;
P0196,Engine Oil Temperature Sensor Range/Performance,Powertrain,OBD-II Standard,;
P0197,Engine Oil Temperature Sensor Low,Powertrain,OBD-II Standard,;
P0198,Engine Oil Temperature Sensor High,Powertrain,OBD-II Standard,;
P0199,Engine Oil Temperature Sensor Intermi ttent,Powertrain,OBD-II Standard,;
P0200,Injector Circuit Malfunction,Powertrain,OBD-II Standard,;
P0201,Injector Circuit Malfunction -Cylinder 1,Powertrain,OBD-II Standard,;
P0202,Injector Circuit Malfunction -Cylinder 2,Powertrain,OBD-II Standard,;
P0203,Injector Circuit Malfunction -Cylinder 3,Powertrain,OBD-II Standard,;
P0204,Injector Circuit Malfunction -Cylinder 4,Powertrain,OBD-II Standard,;
P0205,Injector Circuit Malfunction -Cylinder 5,Powertrain,OBD-II Standard,;
P0206,Injector Circuit Malfunction -Cylinder 6,Powertrain,OBD-II Standard,;
P0207,Injector Circuit Malfunction -Cylinder 7,Powertrain,OBD-II Standard,;
P0208,Injector Circuit Malfunction -Cylinder 8,Powertrain,OBD-II Standard,;
P0209,Injector Circuit Malfunction -Cylinder 9,Powertrain,OBD-II Standard,;
P0210,Injector Circuit Malfunction -Cylinder 10,Powertrain,OBD-II Standard,;
P0211,Injector Circuit Malfunction -Cylinder 11,Powertrain,OBD-II Standard,;
P0212,Injector Circuit Malfunction -Cylinder 12,Powertrain,OBD-II Standard,;
P0213,Cold Start Injector 1 Malfunction,Powertrain,OBD-II Standard,;
P0214,Cold Start Injector 2 Malfunction,Powertrain,OBD-II Standard,;
P0215,Engine Shutoff Solenoid Malfunction,Powertrain,OBD-II Standard,;
P0216,Injection Timing Control Circuit Malfunction,Powertrain,OBD-II Standard,;
P0217,Engine Overtemp Condition,Powertrain,OBD-II Standard,;
P0218,Transmission Over Temperature Condition,Powertrain,OBD-II Standard,;
P0219,Engine Overspeed Condition,Powertrain,OBD-II Standard,;
P0220,Throttle/Petal Position Sensor/Switch B Circuit Mal function,Powertrain,OBD-II Standard,;
P0221,Throttle/Petal Position Sensor/Switch B Circuit,Powertrain,OBD-II Standard,;
P0222,Throttle/Petal Position Sensor/Switch B Circuit Low Input,Powertrain,OBD-II Standard,;
P0223,Throttle/Petal Position Sensor/Switch B Circuit High Input,Powertrain,OBD-II Standard,;
P0224,Throttle/Petal Posit ion Sensor/Switch B Circuit Intermittent,Powertrain,OBD-II Standard,;
P0225,Throttle/Petal Position Sensor/Switch C Circuit Malfunction,Powertrain,OBD-II Standard,;
P0226,Throttle/Petal Position Sensor/Switch C Circuit,Powertrain,OBD-II Standard,;
P0227,Throttle/Petal Position Sensor/Switch C Circuit Low In put,Powertrain,OBD-II Standard,;
P0228,Throttle/Petal Position Sensor/Switch C Circuit High Input,Powertrain,OBD-II Standard,;
P0229,Throttle/Petal Position Sensor/Switch C Circuit Intermittent,Powertrain,OBD-II Standard,;
P0230,Fuel Pump Primary Circuit Malfunction,Powertrain,OBD-II Standard,;
P0231,Fuel Pump Secondary Circuit Low,Powertrain,OBD-II Standard,;
P0232,Fuel Pump Seconda ry Circuit High,Powertrain,OBD-II Standard,;
P0233,Fuel Pump Secondary Circuit Intermittent,Powertrain,OBD-II Standard,;
P0234,Engine Overboost Condition,Powertrain,OBD-II Standard,;
P0235,Turbocharger Boost Sensor A Circuit Malfunction,Powertrain,OBD-II Standard,;
P0236,Turbocharger Boost Sensor A Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0237,Turbocharger Boost Sensor A Circuit Low,Powertrain,OBD-II Standard,;
P0238,Turbocharger Boost Sensor A Circuit High,Powertrain,OBD-II Standard,;
P0239,Turbocharger Boost Sensor B Malfunction,Powertrain,OBD-II Standard,;
P0240,Turbocharger Boost Sensor B Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0241,Turbocharger Boost Sensor B Circuit Low,Powertrain,OBD-II Standard,;
P0242,Turbocharger Boost Se nsor B Circuit High,Powertrain,OBD-II Standard,;
P0243,Turbocharger Wastegate Solenoid A Malfunction,Powertrain,OBD-II Standard,;
P0244,Turbocharger Wastegate Solenoid A Range/Performance,Powertrain,OBD-II Standard,;
P0245,Turbocharger Wastegate Solenoid A Low,Powertrain,OBD-II Standard,;
P0246,Turbocharger Wastegate Solenoid A High,Powertrain,OBD-II Standard,;
P0247,Turbocharger Was tegate Solenoid B Malfunction,Powertrain,OBD-II Standard,;
P0248,Turbocharger Wastegate Solenoid B Range/Performance,Powertrain,OBD-II Standard,;
P0249,Turbocharger Wastegate Solenoid B Low,Powertrain,OBD-II Standard,;
P0250,Turbocharger Wastegate Solenoid B High,Powertrain,OBD-II Standard,;
P0251,Injection Pump Fuel Metering Control A Malfunction,Powertrain,OBD-II Standard,;
P0252,Injection Pump Fuel Metering Control A Range/Performance,Powertrain,OBD-II Standard,;
P0253,Injection Pump Fuel Metering Control A Low,Powertrain,OBD-II Standard,;
P0254,Injection Pump Fuel Metering Control A High,Powertrain,OBD-II Standard,;
P0255,Injection Pump Fuel Metering Control A Intermittent,Powertrain,OBD-II Standard,;
P0256,Injection Pump Fuel Metering Control B Malfunction,Powertrain,OBD-II Standard,;
P0257,Injection Pump Fuel Metering Control B Range/Performance,Powertrain,OBD-II Standard,;
P0258,Injection Pump Fuel Metering Control B Low,Powertrain,OBD-II Standard,;
P0259,Injection Pump Fuel Metering Control B High,Powertrain,OBD-II Standard,;
P0260,Injection Pump Fuel Metering Control B Intermittent,Powertrain,OBD-II Standard,;
P0261,Cylinder 1 Inje ctor Circuit Low,Powertrain,OBD-II Standard,;
P0262,Cylinder 1 Injector Circuit High,Powertrain,OBD-II Standard,;
P0263,Cylinder 1 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0264,Cylinder 2 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0265,Cylinder 2 Injector Circuit High,Powertrain,OBD-II Standard,;
P0266,Cylinder 2 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0267,Cylinder 3 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0268,Cylinder 3 Injector Circuit High,Powertrain,OBD-II Standard,;
P0269,Cylinder 3 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0270,Cylinder 4 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0271,Cylinder 4 Injector Circuit High,Powertrain,OBD-II Standard,;
P0272,Cylinder 4 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0273,Cylinde r 5 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0274,Cylinder 5 Injector Circuit High,Powertrain,OBD-II Standard,;
P0275,Cylinder 5 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0276,Cylinder 6 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0277,Cylinder 6 Injector Circuit High,Powertrain,OBD-II Standard,;
P0278,Cylinder 6 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0279,Cylinder 7 Injector Circuit Low,Powertrain,OBD-II Standard,;
P028,2 Cylinder 8 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0280,Cylinder 7 Injector Circuit High,Powertrain,OBD-II Standard,;
P0281,Cylinder 7 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0282,Cylinder 8 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0283,Cylinder 8 Injector Circuit High,Powertrain,OBD-II Standard,;
P0284,Cylinder 8 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0285,Cylinder 9 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0286,Cylinder 9 Injector Circuit High,Powertrain,OBD-II Standard,;
P0287,Cylinder 9 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0288,Cylinder 10 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0289,Cylinder 10 Injector Circuit High,Powertrain,OBD-II Standard,;
P0290,Cylinder 10 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0291,Cylinder 11 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0292,Cylinder 11 Injector Circuit High,Powertrain,OBD-II Standard,;
P0293,Cylinder 11 Contribution/Balance Fault,Powertrain,OBD-II Standard,;
P0294,Cylinder 12 Injector Circuit Low,Powertrain,OBD-II Standard,;
P0295,Cylinder 12 Injector Circuit High,Powertrain,OBD-II Standard,;
P0296,Cylinder 12 Contribution/Range Fault,Powertrain,OBD-II Standard,;
P0297, Vehicle Overspeed Condition,Powertrain,OBD-II Standard,;
P0298, Engine Oil Over Temperature,Powertrain,OBD-II Standard,;
P0299, Turbo/Super Charger Underboost,Powertrain,OBD-II Standard,;
P0300,Random/Multiple Cylinder Misfire Detected,Powertrain,OBD-II Standard,;
P0301,Cylinder 1 Misfire Detected,Powertrain,OBD-II Standard,;
P0302,Cylinder 2 Misfire Detected,Powertrain,OBD-II Standard,;
P0303,Cylinder 3 Misfire Detected,Powertrain,OBD-II Standard,;
P0304,Cylinder 4 Misfire Detected,Powertrain,OBD-II Standard,;
P0305,Cylinder 5 Misfire Detected,Powertrain,OBD-II Standard,;
P0306,Cylinder 6 Misfire Detected,Powertrain,OBD-II Standard,;
P0307,Cylinder 7 Misfire Detected,Powertrain,OBD-II Standard,;
P0308,Cylinder 8 Misfire Detected,Powertrain,OBD-II Standard,;
P0309,Cylinder 9 Misfire Detected,Powertrain,OBD-II Standard,;
P0310,Cylinder 10 Misfire Detected,Powertrain,OBD-II Standard,;
P0311,Cylinder 11 Misfire Detected,Powertrain,OBD-II Standard,;
P0312,Cylinder 12 Misfire Detected,Powertrain,OBD-II Standard,;
P0313, Misfire Detected with Low Fuel,Powertrain,OBD-II Standard,;
P0314, Single Cylinder Misfire (Cylinder not Specified),Powertrain,OBD-II Standard,;
P0315, Crank shaft Position System Variation Not Learned,Powertrain,OBD-II Standard,;
